[03-Jun-2025 20:14:56 Europe/Kyiv] Request completed in 41.49ms, memory: 2MB
[03-Jun-2025 20:15:02 Europe/Kyiv] Request: GET /admin/users?search=2025 from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:15:02 Europe/Kyiv] Request completed in 26.24ms, memory: 2MB
[03-Jun-2025 20:15:08 Europe/Kyiv] Request: GET /admin/users?search=2025-06 from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:15:08 Europe/Kyiv] Request completed in 40.49ms, memory: 2MB
[03-Jun-2025 20:15:12 Europe/Kyiv] Request: GET /admin/users?search= from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:15:12 Europe/Kyiv] Request completed in 28.95ms, memory: 2MB
[03-Jun-2025 20:15:13 Europe/Kyiv] Request: GET /admin/users?search= from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:15:13 Europe/Kyiv] Request completed in 33.02ms, memory: 2MB
[03-Jun-2025 20:15:15 Europe/Kyiv] Request: GET /admin from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:15:15 Europe/Kyiv] Request completed in 18.5ms, memory: 2MB
